epoch,accuracy,loss,val_accuracy,val_loss
0,0.9430605173110962,0.16127170622348785,1.0,8.344647994817933e-07
1,1.0,6.571332278326736e-07,1.0,0.0
2,1.0,9.078566165499069e-08,1.0,0.0
3,1.0,8.866441447707984e-08,1.0,0.0
4,1.0,8.399796058711217e-08,1.0,0.0
5,1.0,5.939250158348841e-08,1.0,0.0
6,1.0,9.20583502761474e-08,1.0,0.0
7,1.0,9.969452463565176e-08,1.0,0.0
8,1.0,6.70286226522876e-08,1.0,0.0
9,1.0,5.599865104954915e-08,1.0,0.0
10,1.0,6.321054257796277e-08,1.0,0.0
11,1.0,3.018797087861458e-06,1.0,2.3841855067985307e-07
12,1.0,9.693665106169647e-07,1.0,0.0
13,1.0,5.19259003795014e-07,1.0,0.0
14,1.0,5.027119982514705e-07,1.0,0.0
15,1.0,2.96113682907162e-07,1.0,0.0
16,1.0,2.261155600535858e-07,1.0,0.0
