epoch,accuracy,loss,val_accuracy,val_loss
0,0.1983317881822586,730.4722900390625,0.20000000298023224,1.6388707160949707
1,0.20667284727096558,2.665823221206665,0.20000000298023224,1.6202632188796997
2,0.2001853585243225,4.955769062042236,0.20000000298023224,16.49457359313965
3,0.18999072909355164,4.168157577514648,0.19565217196941376,1.6173797845840454
4,0.19091752171516418,2.161435842514038,0.20000000298023224,1.615167260169983
5,0.18906395137310028,6.7513227462768555,0.20000000298023224,1.6152137517929077
6,0.19555144011974335,1.6255664825439453,0.20000000298023224,1.6148897409439087
7,0.1964782178401947,1.6188429594039917,0.19565217196941376,1.6357316970825195
8,0.20389249920845032,1.6235584020614624,0.20000000298023224,1.615231990814209
9,0.19925856590270996,1.6148191690444946,0.20434781908988953,1.628859043121338
10,0.19091752171516418,1.6203669309616089,0.20000000298023224,1.6287848949432373
11,0.2020389288663864,1.622823715209961,0.20434781908988953,1.6182286739349365
12,0.19091752171516418,1.6155064105987549,0.20000000298023224,1.6352142095565796
13,0.19369786977767944,1.6227129697799683,0.20000000298023224,1.6179245710372925
14,0.18628360331058502,1.6229039430618286,0.20000000298023224,1.6116305589675903
15,0.1770157516002655,1.6204112768173218,0.20000000298023224,1.617303490638733
16,0.2001853585243225,1.620504379272461,0.20000000298023224,1.6109349727630615
17,0.20296570658683777,2.138699531555176,0.19565217196941376,1.6155496835708618
18,0.1733086258172989,1.6173714399337769,0.20000000298023224,1.6123179197311401
19,0.1964782178401947,1.6170425415039062,0.19565217196941376,1.6309505701065063
20,0.20574605464935303,2.3582427501678467,0.20434781908988953,1.6121718883514404
21,0.20574605464935303,1.6115833520889282,0.20434781908988953,1.6096383333206177
22,0.18813715875148773,1.717344880104065,0.20000000298023224,1.6095242500305176
23,0.19740501046180725,1.6104627847671509,0.20000000298023224,1.6095415353775024
24,0.18721038103103638,1.6108872890472412,0.20000000298023224,1.6096532344818115
25,0.18443003296852112,1.61134672164917,0.20000000298023224,1.609800100326538
