loss,accuracy,val_loss,val_accuracy,lr
1.5982134342193604,0.31806930899620056,1.8588546514511108,0.2601155936717987,0.001
1.18321692943573,0.46905940771102905,1.7562005519866943,0.3410404622554779,0.001
1.0040652751922607,0.5247524976730347,1.6836780309677124,0.24277456104755402,0.001
0.9191204905509949,0.5346534848213196,1.6184934377670288,0.2832369804382324,0.001
0.8593116998672485,0.573019802570343,1.551142930984497,0.38728323578834534,0.001
0.8411214351654053,0.5532178282737732,1.486064076423645,0.3815028965473175,0.001
0.8333293199539185,0.5383663177490234,1.4196451902389526,0.4971098303794861,0.001
0.8131361603736877,0.5396039485931396,1.3591444492340088,0.4971098303794861,0.001
0.809235692024231,0.5371286869049072,1.316100001335144,0.2543352544307709,0.001
0.7994241118431091,0.5346534848213196,1.2359362840652466,0.46820810437202454,0.001
0.776563823223114,0.5742574334144592,1.1542803049087524,0.5028901696205139,1e-05
0.7737599611282349,0.5482673048973083,1.066854476928711,0.5028901696205139,1e-05
0.7647905349731445,0.5717821717262268,0.9897670745849609,0.5028901696205139,1e-05
0.7488023638725281,0.5977723002433777,0.9306855797767639,0.5028901696205139,1e-05
0.7557153701782227,0.5655940771102905,0.8566619157791138,0.47398844361305237,1e-05
0.7538487911224365,0.5655940771102905,0.8135712146759033,0.5317919254302979,1e-05
0.7277673482894897,0.5742574334144592,0.7825947999954224,0.5202311873435974,1e-05
0.7329229116439819,0.5779703259468079,0.7503461837768555,0.52601158618927,1e-05
0.7305711507797241,0.5915841460227966,0.729120135307312,0.6936416029930115,1e-05
0.7316383123397827,0.5878713130950928,0.7069549560546875,0.7456647157669067,1e-05
0.7554696202278137,0.5853960514068604,0.688376247882843,0.7572254538536072,1e-05
0.7227076292037964,0.5990098714828491,0.6819814443588257,0.7341040372848511,1e-05
0.7195939421653748,0.594059407711029,0.6661682724952698,0.7572254538536072,1e-05
0.6855927109718323,0.625,0.6946926712989807,0.5144508481025696,1e-05
0.7266258597373962,0.5841584205627441,0.6692505478858948,0.6820809245109558,1e-05
0.7101126909255981,0.6002475023269653,0.6489155888557434,0.7572254538536072,1e-05
0.6933378577232361,0.6237623691558838,0.6500065326690674,0.5838150382041931,1e-05
0.7099094390869141,0.6051980257034302,0.6336979269981384,0.7745664715766907,1e-05
0.6694259643554688,0.646039605140686,0.6396040916442871,0.7572254538536072,1e-05
0.6929380893707275,0.6311880946159363,0.6190429925918579,0.7456647157669067,1e-05
